gene_index	gene_name
8194	Gm2a
8226	Gm4532
8241	Gm4841
8245	Gm4902
8252	Gm4951
8254	Gm4956
8276	Gm5111
8289	Gm5150
8311	Gm5480
8312	Gm5483
8336	Gm5771
8337	Gm5779
8373	Gm6277
8383	Gm6377
8394	Gm6525
8462	Gm8369
8492	Gm9079
8495	Gm9320
8509	Gm9733
8516	Gm9833
8519	Gm9899
8532	Gmfg
8546	Gnai1
8562	Gnb4
8566	Gng11
8574	Gng8
8575	Gngt1
8576	Gngt2
8591	Golga1
8616	Gp1bb
8618	Gp49a
8637	Gpc3
8638	Gpc4
8640	Gpc6
8649	Gpihbp1
8652	Gpm6a
8653	Gpm6b
8657	Gpnmb
8665	Gpr114
8667	Gpr116
8672	Gpr126
8675	Gpr133
8696	Gpr162
8699	Gpr171
8706	Gpr182
8707	Gpr183
8716	Gpr30
8722	Gpr37l1
8734	Gpr65
8737	Gpr77
8746	Gpr97
8750	Gprc5a
8754	Gprc6a
8764	Gpx1
8765	Gpx2
8767	Gpx3
8779	Grap
8782	Grb10
8785	Grb7
8790	Grem2
8815	Grina
8829	Grm6
8833	Grp
8837	Grrp1
8856	Gsn
8859	Gsr
8863	Gsta3
8867	Gstm1
8874	Gsto1
8878	Gstt1
8924	Gucy1a2
8925	Gucy1a3
8927	Gucy1b3
8941	Gyg
8945	Gypa
8950	Gzma
8951	Gzmb
8952	Gzmc
8956	Gzmk
8961	H1f0
8963	H1fx
8964	H2-Aa
8965	H2-Ab1
8967	H2-D1
8968	H2-DMa
8969	H2-DMb1
8972	H2-Eb1
8974	H2-K1
8980	H2-M2
8984	H2-Oa
8985	H2-Ob
8987	H2-Q10
8989	H2-Q4
8991	H2-Q7
9007	H2afz
9013	H6pd
9040	Has2
9055	Hba-a1
9056	Hba-a2
9058	Hbb-b1
9059	Hbb-b2
9063	Hbegf
9069	Hc
9074	Hck
9077	Hcn2
9083	Hcst
9095	Hdc
9104	Hdx
9114	Hebp1
9142	Hes1
9153	Hexim2
9154	Hey1
9156	Heyl
9157	Hfe
9168	Hhip
9181	Higd1b
9183	Hilpda
9199	Hist1h1c
9205	Hist1h2ac
9213	Hist1h2ao
9215	Hist1h2bc
9240	Hist1h4h
9241	Hist1h4i
9246	Hist2h2aa1
9249	Hist2h2bb
9256	Hist3h2ba
9264	Hk2
9265	Hk3
9270	Hlx
9273	Hmcn1
9281	Hmgb2
9287	Hmgcs2
9289	Hmgn2
9294	Hmha1
9296	Hmox1
9336	Hopx
9348	Hoxa5
9379	Hp
9383	Hpcal4
9386	Hpgd
9396	Hpse2
9403	Hrct1
9406	Hrh2
9414	Hs3st1
9427	Hsd11b1
9456	Hsp90aa1
9463	Hspa1a
9472	Hspb1
9484	Hspg2
9492	Htr2b
9500	Htra1
9502	Htra3
9503	Htra4
9509	Hvcn1
9511	Hyal2
9512	Hyal3
9521	I830012O16Rik
9531	Icam1
9532	Icam2
9537	Icos
9540	Id1
9541	Id2
9542	Id3
9543	Id4
9553	Ido2
9556	Ier2
9557	Ier3
9559	Ier5
9564	Ifi203
9565	Ifi204
9566	Ifi205
9568	Ifi27l2a
9570	Ifi30
9572	Ifi44
9573	Ifi47
9575	Ifit1
9577	Ifit3
9578	Ifitm1
9580	Ifitm3
9582	Ifitm6
9592	Ifng
9597	Ifrd1
9614	Igf1
9624	Igfbp2
9625	Igfbp3
9626	Igfbp4
9627	Igfbp5
9628	Igfbp6
9629	Igfbp7
9633	Igj
9641	Igsf5
9642	Igsf6
9646	Igtp
9648	Iigp1
9651	Ikbkap
9656	Ikzf2
9685	Il18
9687	Il18r1
9691	Il1b
9696	Il1f9
9698	Il1r2
9702	Il1rl1
9704	Il1rn
9710	Il21r
9724	Il2rb
9729	Il33
9730	Il34
9732	Il4
9737	Il6
9741	Il7r
9760	Impdh1
9779	Inmt
9796	Ins1
9797	Ins2
9799	Insig1
9843	Iqcg
9866	Irf5
9868	Irf7
9869	Irf8
9871	Irg1
9880	Irx1
9881	Irx2
9882	Irx3
9889	Isg15
9894	Islr
9896	Ism1
9908	Itga1
9912	Itga2b
9914	Itga4
9918	Itga8
9921	Itgae
9922	Itgal
9923	Itgam
9925	Itgax
9930	Itgb2
9936	Itgb6
9937	Itgb7
9939	Itgbl1
9943	Itih4
9944	Itih5
9947	Itm2a
9952	Itpka
9967	Iyd
9980	Jam3
10003	Jub
10004	Jun
10005	Junb
10006	Jund
10007	Jup
10011	Kank3
10012	Kank4
10022	Kazald1
10027	Kbtbd13
10035	Kcna1
10036	Kcna2
10040	Kcna6
10046	Kcnb2
10049	Kcnc3
10057	Kcne4
10078	Kcnj12
10081	Kcnj15
10088	Kcnj8
10091	Kcnk10
10095	Kcnk2
10096	Kcnk3
10102	Kcnmb1
10115	Kcnq5
10116	Kcnrg
10118	Kcns3
10128	Kctd12
10144	Kctd7
10145	Kctd8
10168	Kdr
10174	Khdc1a
10176	Khdc1c
10234	Kit
10235	Kitl
10251	Klf2
10253	Klf4
10258	Klf9
10263	Klhdc4
10268	Klhdc8b
10283	Klhl23
10298	Klhl5
10303	Klk1
10331	Klra1
10333	Klra12
10336	Klra17
10337	Klra18
10339	Klra2
10340	Klra21
10341	Klra22
10342	Klra23
10343	Klra3
10345	Klra5
10346	Klra6
10347	Klra7
10348	Klra8
10349	Klra9
10351	Klrb1a
10352	Klrb1b
10353	Klrb1c
10354	Klrb1f
10356	Klrc2
10358	Klrd1
10359	Klre1
10360	Klrg1
10362	Klri1
10363	Klri2
10364	Klrk1
10394	Krt18
10395	Krt19
10419	Krt7
10426	Krt79
10427	Krt8
10479	LOC100038947
10494	LOC330599
10503	LOC545261
10523	Lag3
10525	Lair1
10535	Lamc1
10537	Lamc3
10540	Lamp3
10550	Laptm5
10567	Lat
10568	Lat2
10573	Lbh
10574	Lbp
10599	Lck
10608	Lcn2
10615	Lcp1
10620	Ldb2
10637	Lef1
10660	Lfng
10661	Lgals1
10663	Lgals2
10664	Lgals3
10667	Lgals7
10672	Lgi3
10676	Lgr5
10677	Lgr6
10681	Lhfp
10683	Lhfpl2
10688	Lhx1
10693	Lhx6
10704	Lilrb3
10705	Lilrb4
10708	Limch1
10710	Limd2
10711	Lime1
10715	Lims2
10734	Lipg
10744	Lix1
10757	Lmcd1
10761	Lmna
10762	Lmnb1
10765	Lmo2
10768	Lmo7
10769	Lmod1
10789	Loxl1
10790	Loxl2
10800	Lpcat2
10811	Lpl
10815	Lrat
10827	Lrg1
10836	Lrp1
10840	Lrp2
10843	Lrp4
10852	Lrrc10b
10865	Lrrc25
10869	Lrrc29
10878	Lrrc3b
10879	Lrrc4
10890	Lrrc4c
10892	Lrrc51
10904	Lrrc8a
10921	Lrrn4
10922	Lrrn4cl
10925	Lrrtm3
10946	Lsp1
10949	Lst1
10952	Ltb
10953	Ltb4r1
10956	Ltbp2
10958	Ltbp4
10960	Ltc4s
10961	Ltf
10968	Lum
10971	Lxn
10972	Ly6a
10973	Ly6c1
10974	Ly6c2
10975	Ly6d
10976	Ly6e
10980	Ly6g6c
10985	Ly6i
10986	Ly6k
10988	Ly86
10997	Lypd2
11012	Lysmd2
11016	Lyve1
11017	Lyz1
11018	Lyz2
11032	Macf1
11040	Madd
11046	Mafb
11056	Maged2
11069	Mal
11070	Mal2
11071	Malat1
11074	Mamdc2
11132	Mapk13
11134	Mapk15
11138	Mapk4
11154	Mapt
11166	Marcks
11167	Marcksl1
11169	Marco
11188	Mat2a
11192	Matn2
11201	Mbd1
11219	Mbp
11227	Mcam
11259	Mcpt8
11273	Mdk
11319	Mef2c
11322	Meg3
11330	Meig1
11337	Meox1
11338	Meox2
11346	Mesp1
11348	Mest
11349	Met
11354	Metrnl
11360	Mettl15
11371	Mettl7a1
11383	Mfap2
11386	Mfap4
11387	Mfap5
11389	Mfge8
11412	Mgam
11422	Mgl2
11423	Mgll
11425	Mgp
11537	Mki67
11545	Mkrn1
11550	Mlana
11553	Mlf1
11587	Mmp12
11592	Mmp17
11594	Mmp2
11597	Mmp23
11602	Mmp3
11604	Mmp8
11605	Mmp9
11606	Mmrn1
11607	Mmrn2
11612	Mnd1
11613	Mnda
11614	Mndal
11658	Moxd1
11661	Mpeg1
11672	Mpp2
11680	Mpped2
11686	Mpz
11694	Mrc1
11700	Mrgpra2b
11795	Mrvi1
11796	Ms4a1
11800	Ms4a2
11802	Ms4a4b
11803	Ms4a4c
11804	Ms4a4d
11805	Ms4a6b
11806	Ms4a6c
11808	Ms4a7
11823	Msln
11840	Mt1
11841	Mt2
11850	Mtap1b
11854	Mtap6
11908	Mtss1l
11915	Muc1
11951	Mustn1
11960	Mxd1
11965	Mxra8
11977	Myc
11983	Myct1
11991	Myh10
11992	Myh11
11994	Myh14
12007	Myl2
12009	Myl4
12012	Myl7
12013	Myl9
12015	Mylk
12033	Myo1g
12038	Myo5c
12044	Myoc
12066	Myzap
12075	N4bp3
12090	Naalad2
12124	Nap1l5
12126	Napb
12130	Napsa
12153	Nbeal2
