gene_index	gene_name
18681	Sult2b1
18705	Saa1
18709	Ldha
18794	Klf13
18860	Mfge8
18888	Prc1
18907	Rps17
18915	Homer2
18979	Ctsc
19038	Dgat2
19041	Serpinh1
19044	Rps3
19068	Ucp2
19264	Prkcdbp
19361	Eif3f
19364	Lmo1
19367	Rpl27a
19385	Adm
19396	Dkk3
19401	Rassf10
19415	Calcb
19422	Rps13
19426	Rps15a
19427	Arl6ip1
19492	Rbbp6
19525	Nupr1
19536	Aldoa
19595	Prss53
19602	Pycard
19630	Htra1
19644	Bub3
19646	Cpxm2
19649	Oat
19676	Mki67
19688	Bnip3
19750	Ifitm2
19752	Ifitm3
19755	Pkp3
19759	Rnh1
19775	Taldo1
19780	Rplp2
19804	Ctsd
19812	H19
19822	Cd81
19826	Kcnq1ot1
19830	Phlda2
19851	Ccnd1
19977	Defb14
19978	Defb4
20024	Defb1
20039	Ckap2
20063	Sfrp1
20065	1810011O10Rik
20100	Rab11fip1
20144	Cldn23
20233	Hpgd
20239	Hmgb2
20260	Cpe
20261	Sc4mol
20326	Crlf1
20328	Uba52
20338	Jund
20352	Rpl18a
20398	Klf2
20415	Hmox1
20440	Hhip
20458	Tecr
20459	Dnajb1
20492	Ier2
20500	Calr
20509	Prdx2
20510	Junb
20564	Mmp2
20566	Capns2
20569	Ces1b
20571	Ces1d
20582	Mt4
20583	Mt3
20584	Mt2
20585	Mt1
20657	Ces2g
20680	Tppp3
20736	Nqo1
20807	Maf
20839	Cotl1
20850	Cox4i1
20860	Map1lc3b
20879	Fam38a
20888	Ankrd11
20891	Rpl13
20907	Tubb3
20945	Kcnk1
20955	Itgb1
21094	Icam1
21109	Cdkn2d
21124	Ldlr
21125	Spc24
21153	Anln
21192	Barx2
21200	St3gal4
21361	Hspa8
21383	Trim29
21399	H2afx
21405	Rps25
21430	Tmprss4
21434	Tmprss13
21478	1600029D21Rik
21535	Dnaja4
21537	Crabp1
21548	AI118078
21620	Pkm2
21635	Rplp1
21636	Kif23
21637	Paqr5
21662	Rpl4
21667	Tipin
21670	Rab11a
21694	2810417H13Rik
21700	Dapk2
21722	Anxa2
21731	Ccnb2
21787	Gclc
21793	Gsta4
21794	Gsta1
21795	Gm3776
21799	Gsta2
21805	Eef1a1
21822	Hmgn3
21826	Elovl4
21837	Me1
21895	Atp1b3
21906	Rbp1
21907	Rbp2
21987	Rpl29
22050	Gpx1
22061	Impdh2
22076	Uqcrc1
22198	Csrnp1
22203	Rpsa
22208	Entpd3
22209	Rpl14
22227	Higd1a
22313	Plp2
22336	Rbm3
22481	Slc25a5
22488	Rpl39
22533	Lamp2
22586	Gpc3
22708	Hmgb3
22744	Trex2
22773	Rpl10
22900	Gdpd2
22921	Rps4x
22942	Xist
22972	Pgk1
22992	Hmgn5
23006	Pof1b
23043	Rpl36a
23075	Tceal8
23079	Wbp5
23080	Ngfrap1
23118	Tsc22d3
23220	Sat1
23222	Prdx4
23254	S100g
23264	Pir
23278	Egfl6
23281	Tmsb4x
23336	Erdr1
