gene_index	gene_name
6247	Edn3
6249	Ednrb
6263	Efcab10
6268	Efcab5
6273	Efemp1
6280	Efhd1
6281	Efhd2
6288	Efnb2
6298	Egfl7
6299	Egfl8
6305	Egr1
6307	Egr3
6314	Ehd4
6390	Elf3
6392	Elf5
6394	Elfn2
6407	Eln
6419	Eltd1
6420	Emb
6421	Emcn
6426	Emid1
6437	Emp1
6439	Emp3
6440	Emr1
6453	Eng
6460	Eno4
6467	Enpp2
6471	Enpp6
6474	Entpd1
6475	Entpd2
6476	Entpd3
6486	Epas1
6498	Epcam
6505	Epha4
6506	Epha5
6510	Ephb1
6517	Ephx3
6533	Epsti1
6535	Epyc
6541	Erbb3
6554	Ereg
6578	Errfi1
6580	Esam
6585	Esm1
6606	Etl4
6615	Etv3
6621	Evi2a
6626	Evpl
6645	Exosc2
6654	Expi
6666	Ezr
6667	F10
6669	F11r
6671	F13a1
6674	F2r
6678	F3
6681	F630028O10Rik
6685	F7
6690	F830016B08Rik
6694	Fa2h
6695	Faah
6696	Fabp1
6700	Fabp4
6701	Fabp5
6703	Fabp7
6717	Faim3
6721	Fam101b
6727	Fam107a
6728	Fam107b
6736	Fam110c
6770	Fam132b
6784	Fam150b
6786	Fam151b
6810	Fam167b
6830	Fam178b
6833	Fam180a
6836	Fam183b
6862	Fam19a1
6872	Fam25c
6887	Fam43a
6890	Fam46a
6908	Fam57a
6909	Fam57b
6920	Fam65b
6926	Fam70b
6951	Fam83f
6960	Fam92b
6987	Fasl
7004	Fbln1
7005	Fbln2
7006	Fbln5
7008	Fbn1
7009	Fbn2
7025	Fbxl22
7043	Fbxo27
7084	Fcer1a
7085	Fcer1g
7086	Fcer2a
7088	Fcgbp
7089	Fcgr1
7090	Fcgr2b
7091	Fcgr3
7092	Fcgr4
7098	Fcna
7105	Fcrls
7125	Fev
7131	Ffar2
7142	Fgf10
7150	Fgf18
7157	Fgf5
7162	Fgfbp1
7168	Fgfr3
7174	Fgl2
7175	Fgr
7180	Fhl1
7185	Fhod1
7188	Fibin
7192	Figf
7198	Filip1l
7206	Fkbp11
7227	Flna
7234	Flrt3
7235	Flt1
7238	Flt4
7242	Fmn2
7248	Fmo3
7253	Fmod
7256	Fn1
7276	Folr1
7277	Folr2
7278	Folr4
7279	Fos
7280	Fosb
7284	Foxa2
7290	Foxd2
7291	Foxd3
7301	Foxj1
7320	Foxp3
7322	Foxq1
7329	Fpr1
7330	Fpr2
7333	Frat2
7339	Frmd3
7354	Frzb
7356	Fscn1
7364	Fst
7365	Fstl1
7369	Fth1
7370	Ftl1
7384	Furin
7401	Fxyd1
7402	Fxyd2
7403	Fxyd3
7404	Fxyd4
7405	Fxyd5
7406	Fxyd6
7408	Fyb
7412	Fzd1
7421	Fzd9
7423	G0s2
7427	G530011O06Rik
7473	Gadd45a
7474	Gadd45b
7475	Gadd45g
7479	Gal
7517	Gap43
7526	Gas1
7532	Gas6
7533	Gas7
7537	Gata2
7538	Gata3
7546	Gatm
7558	Gbp2
7559	Gbp3
7560	Gbp4
7561	Gbp5
7562	Gbp6
7563	Gbp7
7582	Gckr
7583	Gclc
7589	Gcnt2
7601	Gdf10
7603	Gdf15
7605	Gdf3
7606	Gdf5
7607	Gdf6
7618	Gem
7626	Gfap
7638	Gfra3
7651	Ggt1
7667	Gimap1
7668	Gimap3
7669	Gimap4
7670	Gimap5
7671	Gimap6
7673	Gimap8
7674	Gimap9
7687	Gja1
7689	Gja4
7690	Gja5
7692	Gjb1
7693	Gjb2
7699	Gjc2
7700	Gjc3
7708	Gkn3
7717	Gldn
7723	Glipr1
7738	Glrx
7756	Glul
7778	Gm10345
7789	Gm10432
7812	Gm106
7826	Gm10731
7841	Gm10825
7846	Gm10872
7864	Gm11428
7903	Gm12216
7905	Gm12250
7948	Gm13293
7966	Gm136
7969	Gm13718
7974	Gm13889
7999	Gm14379
8016	Gm14872
8035	Gm15441
8047	Gm1574
8083	Gm166
8101	Gm16907
8113	Gm17495
8142	Gm19705
8146	Gm1987
8168	Gm20571
8170	Gm20594
8177	Gm2115
8194	Gm2a
8232	Gm4759
8252	Gm4951
8254	Gm4956
8277	Gm5113
8279	Gm5124
8293	Gm525
8306	Gm5464
8308	Gm5468
8311	Gm5480
8312	Gm5483
8315	Gm5523
8318	Gm5544
8321	Gm5577
8336	Gm5771
8379	Gm6320
8426	Gm694
8455	Gm8221
8481	Gm889
8483	Gm8979
8532	Gmfg
8553	Gnat1
8555	Gnat3
8561	Gnb3
8566	Gng11
8568	Gng13
8569	Gng2
8576	Gngt2
8617	Gp2
8618	Gp49a
8635	Gpc1
8636	Gpc2
8637	Gpc3
8645	Gpha2
8649	Gpihbp1
8652	Gpm6a
8653	Gpm6b
8657	Gpnmb
8667	Gpr116
8674	Gpr132
8684	Gpr146
8699	Gpr171
8706	Gpr182
8707	Gpr183
8716	Gpr30
8719	Gpr34
8722	Gpr37l1
8724	Gpr4
8734	Gpr65
8737	Gpr77
8741	Gpr84
8746	Gpr97
8761	Gpsm3
8764	Gpx1
8765	Gpx2
8766	Gpx2-ps1
8767	Gpx3
8792	Grhl2
8800	Grid2
8815	Grina
8833	Grp
8837	Grrp1
8843	Gsdma
8856	Gsn
8859	Gsr
8863	Gsta3
8864	Gsta4
8867	Gstm1
8868	Gstm2
8874	Gsto1
8925	Gucy1a3
8942	Gyk
8945	Gypa
8950	Gzma
8951	Gzmb
8960	H19
8961	H1f0
8964	H2-Aa
8965	H2-Ab1
8967	H2-D1
8968	H2-DMa
8969	H2-DMb1
8972	H2-Eb1
8974	H2-K1
8980	H2-M2
8983	H2-M9
8984	H2-Oa
8987	H2-Q10
8989	H2-Q4
8993	H2-T10
8995	H2-T23
9001	H2afj
9007	H2afz
9032	Hapln1
9039	Has1
9055	Hba-a1
9056	Hba-a2
9058	Hbb-b1
9059	Hbb-b2
9063	Hbegf
9076	Hcn1
9083	Hcst
9095	Hdc
9114	Hebp1
9121	Hecw2
9131	Hepacam
9142	Hes1
9150	Hexb
9154	Hey1
9166	Hhatl
9167	Hhex
9168	Hhip
9181	Higd1b
9183	Hilpda
9198	Hist1h1b
9199	Hist1h1c
9200	Hist1h1d
9201	Hist1h1e
9205	Hist1h2ac
9211	Hist1h2ak
9213	Hist1h2ao
9215	Hist1h2bc
9230	Hist1h3e
9231	Hist1h3f
9237	Hist1h4c
9238	Hist1h4d
9240	Hist1h4h
9243	Hist1h4k
9249	Hist2h2bb
9256	Hist3h2ba
9258	Hist4h4
9264	Hk2
9270	Hlx
9281	Hmgb2
9287	Hmgcs2
9294	Hmha1
9296	Hmox1
9333	Hook1
9352	Hoxb1
9366	Hoxc4
9375	Hoxd3
9379	Hp
9386	Hpgd
9387	Hpgds
9414	Hs3st1
9422	Hs6st2
9427	Hsd11b1
9456	Hsp90aa1
9459	Hspa12a
9463	Hspa1a
9464	Hspa1b
9472	Hspb1
9476	Hspb6
9492	Htr2b
9500	Htra1
9502	Htra3
9503	Htra4
9520	I730030J21Rik
9521	I830012O16Rik
9527	Ibsp
9531	Icam1
9532	Icam2
9537	Icos
9540	Id1
9541	Id2
9542	Id3
9543	Id4
9556	Ier2
9557	Ier3
9559	Ier5
9563	Ifi202b
9564	Ifi203
9565	Ifi204
9568	Ifi27l2a
9570	Ifi30
9572	Ifi44
9573	Ifi47
9575	Ifit1
9577	Ifit3
9578	Ifitm1
9579	Ifitm2
9580	Ifitm3
9582	Ifitm6
9590	Ifnb1
9592	Ifng
9597	Ifrd1
9614	Igf1
9616	Igf2
9624	Igfbp2
9625	Igfbp3
9626	Igfbp4
9627	Igfbp5
9628	Igfbp6
9629	Igfbp7
9633	Igj
9638	Igsf11
9641	Igsf5
9642	Igsf6
9646	Igtp
9648	Iigp1
9656	Ikzf2
9657	Ikzf3
9660	Il10
9661	Il10ra
9663	Il11
9664	Il11ra1
9666	Il12b
9669	Il13
9675	Il17a
9679	Il17f
9687	Il18r1
9688	Il18rap
9690	Il1a
9691	Il1b
9696	Il1f9
9698	Il1r2
9702	Il1rl1
9704	Il1rn
9705	Il2
9710	Il21r
9715	Il23r
9723	Il2ra
9724	Il2rb
9725	Il2rg
9729	Il33
9730	Il34
9732	Il4
9735	Il5
9737	Il6
9740	Il7
9741	Il7r
9760	Impdh1
9775	Inhba
9776	Inhbb
9779	Inmt
9787	Inpp4b
9798	Insc
9799	Insig1
9806	Insr
9823	Ip6k3
9835	Iqca
9860	Irf1
9868	Irf7
9869	Irf8
